,Supplier_Lead_Time,Inventory_Levels,Order_Frequency,Delivery_Performance,Cost_Per_Unit
Supplier_Lead_Time,1.0,0.21201791075443407,-0.898643733105887,-0.9209462228730347,0.9617729797654059
Inventory_Levels,0.21201791075443407,1.0,-0.16960401003731235,-0.1876793075136265,0.18869831831442405
Order_Frequency,-0.898643733105887,-0.16960401003731235,1.0,0.8106040733775006,-0.8606903138121467
Delivery_Performance,-0.9209462228730347,-0.1876793075136265,0.8106040733775006,1.0,-0.918173331817845
Cost_Per_Unit,0.9617729797654059,0.18869831831442405,-0.8606903138121467,-0.918173331817845,1.0
